Instructor,Course,Readiness,Frequency,Total
Alterovitz,COMP 581,4,4,8
Alterovitz,COMP 560,3,2,5
Alterovitz,COMP 110,1,1,2
Alterovitz,COMP 116,1,1,2
Alterovitz,COMP 210,1,1,2
Anderson,COMP 455,4,2,6
Anderson,COMP 550,2,1,3
Bertasius,COMP 577,2,3,5
Bertasius,COMP 562,1,1,2
Chaturvedi,COMP 586,4,4,8
Chaturvedi,COMP 486,3,2,5
Chaturvedi,COMP 487,3,2,5
Chaturvedi,COMP 560,3,2,5
Chaturvedi,COMP 562,3,2,5
Duggirala,COMP 455,4,4,8
Duggirala,COMP 545,4,3,7
Duggirala,COMP 550,4,3,7
Duggirala,COMP 581,3,3,6
Duggirala,COMP 210,3,2,5
Eskandarian,COMP 537,4,4,8
Eskandarian,COMP 455,2,3,5
Eskandarian,COMP 283,2,2,4
Eskandarian,COMP 435,2,2,4
Eskandarian,COMP 550,2,2,4
Fuchs,COMP 311,0,1,1
Gaikwad,COMP 380,4,4,8
Gaikwad,COMP 560,4,4,8
Gaikwad,COMP 562,4,4,8
Gaikwad,COMP 110,3,3,6
Gaikwad,COMP 486,3,3,6
Goodwin,COMP 301,4,4,8
Goodwin,COMP 210,4,3,7
Goodwin,COMP 380,3,3,6
Goodwin,COMP 388,3,3,6
Goodwin,COMP 110,3,2,5
Hinks,COMP 110,4,4,8
Hinks,COMP 116,4,4,8
Hinks,COMP 227,3,3,6
Hinks,COMP 555,3,3,6
Hinks,COMP 126,3,2,5
Jeffay,COMP 431,4,4,8
Jeffay,COMP 530,4,4,8
Jeffay,COMP 533,3,2,5
Jeffay,COMP 211,2,2,4
Jeffay,COMP 311,2,2,4
Jordan,COMP 423,4,4,8
Jordan,COMP 110,4,3,7
Jordan,COMP 227,4,2,6
Jordan,COMP 426,3,3,6
Jordan,COMP 126,3,2,5
Joseph-Nicholas,COMP 126,4,4,8
Joseph-Nicholas,COMP 380,4,4,8
Joseph-Nicholas,COMP 388,4,4,8
Joseph-Nicholas,COMP 227,4,2,6
Kaur,COMP 431,4,4,8
Kaur,COMP 110,2,1,3
Kaur,COMP 530,1,1,2
Lytle,COMP 110,4,4,8
Lytle,COMP 283,4,4,8
Lytle,COMP 210,3,3,6
Lytle,COMP 301,3,3,6
Lytle,COMP 550,3,3,6
Mayer-Patel,COMP 301,4,3,7
Mayer-Patel,COMP 426,4,3,7
Mayer-Patel,COMP 431,3,3,6
Mayer-Patel,COMP 227,3,2,5
Mayer-Patel,COMP 421,3,2,5
McMahon,COMP 211,4,4,8
McMahon,COMP 311,4,4,8
McMahon,COMP 541,4,4,8
McMahon,COMP 227,4,3,7
McMahon,COMP 380,4,3,7
Munsell,COMP 211,4,4,8
Munsell,COMP 311,4,4,8
Munsell,COMP 475,4,3,7
Munsell,COMP 530,4,3,7
Munsell,COMP 575,4,3,7
Porter,COMP 530,4,4,8
Porter,COMP 311,3,3,6
Porter,COMP 211,2,3,5
Porter,COMP 421,2,3,5
Porter,COMP 435,3,2,5
Pothukuchi,COMP 311,2,4,6
Pothukuchi,COMP 541,2,4,6
Pothukuchi,COMP 211,2,2,4
Pothukuchi,COMP 520,1,2,3
Pothukuchi,COMP 530,1,2,3
Sengupta,COMP 577,4,4,8
Sengupta,COMP 562,3,3,6
Sengupta,COMP 572,3,3,6
Sengupta,COMP 575,2,2,4
Sengupta,COMP 576,2,2,4
Singh,COMP 541,4,4,8
Singh,COMP 572,4,4,8
Singh,COMP 311,3,2,5
Snoeyink,COMP 283,4,4,8
Snoeyink,COMP 651,4,3,7
Snoeyink,COMP 488,3,3,6
Snoeyink,COMP 550,3,3,6
Snoeyink,COMP 116,3,2,5
Stanley,COMP 562,4,3,7
Stanley,COMP 116,3,2,5
Stanley,COMP 488,3,2,5
Stanley,COMP 283,2,2,4
Stanley,COMP 110,2,0,2
Stotts,COMP 210,4,0,4
Stotts,COMP 301,4,0,4
Stotts,COMP 523,4,0,4
Stotts,COMP 110,3,0,3
Stotts,COMP 116,3,0,3
Sturton,COMP 435,4,4,8
Sturton,COMP 637,4,4,8
Sturton,COMP 311,3,3,6
Sturton,COMP 541,3,3,6
Sturton,COMP 520,2,3,5
Sun,COMP 550,4,4,8
Sun,COMP 283,4,3,7
Sun,COMP 455,4,3,7
Sun,COMP 110,3,2,5
Sun,COMP 116,3,2,5
