Course,Section,Title,Prof,Start,MeetingPattern,SeatCapacity,Room,Type
COMP110,3,COMP110 Class,Izzi Hinks,12:20PM,MW,150.0,university,AUTOMATED
COMP110,4,COMP110 Class,Izzi Hinks,1:25PM,MWF,150.0,university,AUTOMATED
COMP116,1,COMP116 Class,Alyssa Byrnes,9:05AM,MWF,,FB-F007,AUTOMATED
COMP126,1,COMP126 Class,Tessa Joseph-Nicholas,10:10AM,MWF,120.0,university,AUTOMATED
COMP210,1,COMP210 Class,Sayeed Ghani,12:20PM,MWF,210.0,university,AUTOMATED
COMP210,2,COMP210 Class,Sayeed Ghani,8:00AM,MWF,210.0,university,AUTOMATED
COMP211,1,COMP211 Class,Brent Munsell,10:10AM,MWF,200.0,university,AUTOMATED
COMP211,2,COMP211 Class,Brent Munsell,12:20PM,MWF,200.0,university,AUTOMATED
COMP283,1,COMP283/283H Class,Jack Snoeyink,11:15AM,MWF,204.0,university,AUTOMATED
COMP301,1,COMP301 Class,Prairie Goodwin,9:05AM,MWF,200.0,university,AUTOMATED
COMP301,2,COMP301 Class,Prairie Goodwin,10:10AM,MWF,200.0,university,AUTOMATED
COMP311,1,COMP311 Class,Cece McMahon,8:00AM,MWF,225.0,university,AUTOMATED
COMP380,1,COMP380 Class,Tessa Joseph-Nicholas,8:00AM,MWF,60.0,SN-0011,AUTOMATED
COMP380H,1,COMP380H Class,Tessa Joseph-Nicholas,12:20PM,MW,24.0,SN-0014,AUTOMATED
COMP421,1,COMP421 Class,TBD,8:00AM,MWF,200.0,university,AUTOMATED
COMP426,1,COMP426 Class,Ketan Mayer-Patel,8:00AM,MWF,200.0,university,AUTOMATED
COMP433,1,COMP433 Class,Shahriar Nirjon,11:15AM,MWF,75.0,FB-F009,AUTOMATED
COMP435,1,COMP435 Class,Cynthia Sturton,10:10AM,MWF,70.0,FB-F009,AUTOMATED
COMP455,1,COMP455 Class,P.S. Thiagarajan,9:05AM,MWF,125.0,university,AUTOMATED
COMP455,2,COMP455 Class,P.S. Thiagarajan,8:00AM,MWF,125.0,university,AUTOMATED
COMP475,1,COMP475 Class,Mike Reed,10:10AM,MWF,60.0,SN-0011,AUTOMATED
COMP523,1,COMP523 Class,Paul Stotts,9:05AM,MWF,60.0,SN-0014,AUTOMATED
COMP524,1,COMP524 Class,Prasun Dewan,1:25PM,MWF,60.0,FB-F009,AUTOMATED
COMP530,1,COMP530 Class,Donald Porter,1:25PM,MWF,75.0,SN-0014,AUTOMATED
COMP537,1,COMP537 Class,Saba Eskandarian,12:20PM,MWF,90.0,SN-0014,AUTOMATED
COMP541,1,COMP541 Class,Montek Singh,9:30AM,TTH,45.0,SN-0014,AUTOMATED
COMP541,2,COMP541 Class,Cece McMahon,11:15AM,MWF,45.0,FB-F141,AUTOMATED
COMP545,1,COMP545 Class,Samarjit Chakraborty,8:00AM,MWF,25.0,FB-F141,AUTOMATED
COMP550,1,COMP550 Class,Kevin Sun,10:10AM,MWF,125.0,university,AUTOMATED
COMP550,2,COMP550 Class,Kevin Sun,1:25PM,MWF,125.0,university,AUTOMATED
COMP562,1,COMP562 Class,Jorge Silva,8:00AM,TTH,75.0,FB-F009,AUTOMATED
COMP581,1,COMP581 Class,Daniel Szafir,12:20PM,MWF,60.0,SN-0011,AUTOMATED
COMP590-59,59,COMP590-59 Class,Paul Stotts,8:00AM,MWF,90.0,SN-0014,AUTOMATED
COMP590-177,177,COMP590-177 Class,Roni Sengupta,8:00AM,MWF,60.0,FB-F009,AUTOMATED
COMP664,1,COMP664 Class,Shashank Srivastava,9:05AM,MWF,60.0,FB-F009,AUTOMATED
COMP737,1,COMP737 Class,James Anderson,9:30AM,TTH,30.0,FB-F007,AUTOMATED
COMP750,1,COMP750 Class,James Anderson,2:00PM,TTH,30.0,SN-0011,AUTOMATED
COMP755,1,COMP755 Class,Junier Oliva,5:00PM,TTH,30.0,SN-0014,AUTOMATED
COMP775,1,COMP775 Class,Marc Niethammer,8:00AM,MWF,30.0,FB-F007,AUTOMATED
COMP790-144,144,COMP790-144 Class,Parasara Sridhar Duggirala,5:00PM,TTH,30.0,FB-F007,AUTOMATED
COMP790-148,148,COMP790-148 Class,Samarjit Chakraborty,9:05AM,MWF,25.0,SN-0115,AUTOMATED
COMP790-158,185,COMP790-158 Class,Snigdha Chaturvedi,9:05AM,MWF,30.0,FB-F141,AUTOMATED
COMP790-185,185,COMP790-185 Class,Andrew Kwong,10:10AM,MWF,30.0,FB-F141,AUTOMATED
