Course,Title,Section,SeatCapacity
COMP110,COMP110 Class,2,300.0
COMP110,COMP110 Class,3,150.0
COMP110,COMP110 Class,4,150.0
COMP116,COMP116 Class,1,
COMP126,COMP126 Class,1,120.0
COMP210,COMP210 Class,1,210.0
COMP210,COMP210 Class,2,210.0
COMP211,COMP211 Class,1,200.0
COMP211,COMP211 Class,2,200.0
COMP227,COMP227 Class,1,30.0
COMP283,COMP283/283H Class,1,204.0
COMP301,COMP301 Class,1,200.0
COMP301,COMP301 Class,2,200.0
COMP311,COMP311 Class,1,225.0
COMP380,COMP380 Class,1,60.0
COMP380H,COMP380H Class,1,24.0
COMP421,COMP421 Class,1,200.0
COMP426,COMP426 Class,1,200.0
COMP431,COMP431 Class,1,60.0
COMP433,COMP433 Class,1,75.0
COMP435,COMP435 Class,1,70.0
COMP455,COMP455 Class,1,125.0
COMP455,COMP455 Class,2,125.0
COMP475,COMP475 Class,1,60.0
COMP488,COMP488 Class,1,
COMP520,COMP520 Class,1,
COMP523,COMP523 Class,1,60.0
COMP524,COMP524 Class,1,60.0
COMP530,COMP530 Class,1,75.0
COMP533,COMP533 Class,1,60.0
COMP537,COMP537 Class,1,90.0
COMP541,COMP541 Class,1,45.0
COMP541,COMP541 Class,2,45.0
COMP545,COMP545 Class,1,25.0
COMP550,COMP550 Class,1,125.0
COMP550,COMP550 Class,2,125.0
COMP560,COMP560 Class,1,60.0
COMP562,COMP562 Class,1,75.0
COMP581,COMP581 Class,1,60.0
COMP590-59,COMP590-59 Class,59,90.0
COMP590-139,COMP590-139 Class,139,10.0
COMP590-140,COMP590-140 Class,140,280.0
COMP590-158,COMP590-158 Class,158,4.0
COMP590-170,COMP590-170 Class,170,30.0
COMP590-172,COMP590-172 Class,172,30.0
COMP590-177,COMP590-177 Class,177,60.0
COMP730,COMP730 Class,1,
COMP664,COMP664 Class,1,60.0
COMP737,COMP737 Class,1,30.0
COMP750,COMP750 Class,1,30.0
COMP755,COMP755 Class,1,30.0
COMP775,COMP775 Class,1,30.0
COMP790-139,COMP790-139 Class,139,20.0
COMP790-144,COMP790-144 Class,144,30.0
COMP790-148,COMP790-148 Class,148,25.0
COMP790-158,COMP790-158 Class,158,30.0
COMP915,COMP915 Class,1,20.0
COMP110,COMP110 Class,1,300.0
COMP790-185,COMP790-185 Class,185,30.0
